"contig"	"start"	"end"	"location"
"8709"	"Contig12987"	"226810"	"226810"	"Contig12987_226810_226810"
"9025"	"Contig1309"	"28188"	"28188"	"Contig1309_28188_28188"
"9510"	"Contig13287"	"87653"	"87653"	"Contig13287_87653_87653"
"9846"	"Contig13403"	"269313"	"269313"	"Contig13403_269313_269313"
"10445"	"Contig1377"	"155326"	"155326"	"Contig1377_155326_155326"
"10464"	"Contig1377"	"243118"	"243118"	"Contig1377_243118_243118"
"10466"	"Contig1377"	"249969"	"249969"	"Contig1377_249969_249969"
"10660"	"Contig13853"	"26641"	"26641"	"Contig13853_26641_26641"
"10874"	"Contig1387"	"225793"	"225793"	"Contig1387_225793_225793"
"10881"	"Contig1387"	"225901"	"225901"	"Contig1387_225901_225901"
"10917"	"Contig1387"	"349880"	"349880"	"Contig1387_349880_349880"
"11517"	"Contig14218"	"12479"	"12479"	"Contig14218_12479_12479"
"11548"	"Contig14261"	"521"	"521"	"Contig14261_521_521"
"12152"	"Contig14659"	"134465"	"134465"	"Contig14659_134465_134465"
"12353"	"Contig14677"	"74840"	"74840"	"Contig14677_74840_74840"
"12491"	"Contig14820"	"200476"	"200476"	"Contig14820_200476_200476"
"12831"	"Contig15078"	"38188"	"38188"	"Contig15078_38188_38188"
"12936"	"Contig1509"	"308089"	"308089"	"Contig1509_308089_308089"
"13183"	"Contig15183"	"28499"	"28499"	"Contig15183_28499_28499"
"13341"	"Contig15319"	"256676"	"256676"	"Contig15319_256676_256676"
"13717"	"Contig15348"	"735559"	"735559"	"Contig15348_735559_735559"
"13733"	"Contig15348"	"748423"	"748423"	"Contig15348_748423_748423"
"13925"	"Contig15397"	"105355"	"105355"	"Contig15397_105355_105355"
"14125"	"Contig15482"	"175825"	"175825"	"Contig15482_175825_175825"
"14143"	"Contig15486"	"47091"	"47091"	"Contig15486_47091_47091"
"14751"	"Contig1571"	"1098546"	"1098546"	"Contig1571_1098546_1098546"
"14895"	"Contig15842"	"1644"	"1644"	"Contig15842_1644_1644"
"15196"	"Contig1585"	"4109684"	"4109684"	"Contig1585_4109684_4109684"
"15521"	"Contig1592"	"431741"	"431741"	"Contig1592_431741_431741"
"15607"	"Contig15981"	"324965"	"324965"	"Contig15981_324965_324965"
"15723"	"Contig16060"	"31812"	"31812"	"Contig16060_31812_31812"
"16125"	"Contig16219"	"95922"	"95922"	"Contig16219_95922_95922"
"16139"	"Contig16219"	"142579"	"142579"	"Contig16219_142579_142579"
"17087"	"Contig16852"	"105331"	"105331"	"Contig16852_105331_105331"
"17512"	"Contig16950"	"437696"	"437696"	"Contig16950_437696_437696"
"17696"	"Contig17181"	"252072"	"252072"	"Contig17181_252072_252072"
"18324"	"Contig17367"	"58151"	"58151"	"Contig17367_58151_58151"
"18564"	"Contig1765"	"66940"	"66940"	"Contig1765_66940_66940"
"18647"	"Contig1765"	"757321"	"757321"	"Contig1765_757321_757321"
"18706"	"Contig17662"	"224432"	"224432"	"Contig17662_224432_224432"
"18736"	"Contig17706"	"30779"	"30779"	"Contig17706_30779_30779"
"19156"	"Contig1776"	"541004"	"541004"	"Contig1776_541004_541004"
"19187"	"Contig1776"	"572032"	"572032"	"Contig1776_572032_572032"
"19651"	"Contig17837"	"164854"	"164854"	"Contig17837_164854_164854"
"19906"	"Contig17928"	"70058"	"70058"	"Contig17928_70058_70058"
"20743"	"Contig18346"	"188298"	"188298"	"Contig18346_188298_188298"
"20833"	"Contig18407"	"15648"	"15648"	"Contig18407_15648_15648"
"21042"	"Contig185"	"147433"	"147433"	"Contig185_147433_147433"
"21096"	"Contig1850"	"308602"	"308602"	"Contig1850_308602_308602"
"21497"	"Contig1850"	"2245950"	"2245950"	"Contig1850_2245950_2245950"
"23005"	"Contig1940"	"421452"	"421452"	"Contig1940_421452_421452"
"23322"	"Contig19719"	"473"	"473"	"Contig19719_473_473"
"23592"	"Contig19752"	"14040"	"14040"	"Contig19752_14040_14040"
"23934"	"Contig19972"	"113365"	"113365"	"Contig19972_113365_113365"
"24021"	"Contig20130"	"107867"	"107867"	"Contig20130_107867_107867"
"24242"	"Contig20254"	"173259"	"173259"	"Contig20254_173259_173259"
"24650"	"Contig2065"	"279537"	"279537"	"Contig2065_279537_279537"
"24951"	"Contig2068"	"170283"	"170283"	"Contig2068_170283_170283"
"25571"	"Contig2068"	"1549176"	"1549176"	"Contig2068_1549176_1549176"
"25641"	"Contig2068"	"1665550"	"1665550"	"Contig2068_1665550_1665550"
"25978"	"Contig2068"	"2172565"	"2172565"	"Contig2068_2172565_2172565"
"26227"	"Contig20822"	"45534"	"45534"	"Contig20822_45534_45534"
"26450"	"Contig20919"	"75033"	"75033"	"Contig20919_75033_75033"
"26750"	"Contig210"	"621646"	"621646"	"Contig210_621646_621646"
"26990"	"Contig210"	"970165"	"970165"	"Contig210_970165_970165"
"27363"	"Contig210"	"1288114"	"1288114"	"Contig210_1288114_1288114"
"27426"	"Contig210"	"1417356"	"1417356"	"Contig210_1417356_1417356"
"27497"	"Contig210"	"1539908"	"1539908"	"Contig210_1539908_1539908"
"27549"	"Contig210"	"1852025"	"1852025"	"Contig210_1852025_1852025"
"27603"	"Contig210"	"1964055"	"1964055"	"Contig210_1964055_1964055"
"27817"	"Contig21179"	"53090"	"53090"	"Contig21179_53090_53090"
"28308"	"Contig21486"	"33241"	"33241"	"Contig21486_33241_33241"
"28328"	"Contig21551"	"121346"	"121346"	"Contig21551_121346_121346"
"28513"	"Contig216"	"85844"	"85844"	"Contig216_85844_85844"
"28770"	"Contig21684"	"220755"	"220755"	"Contig21684_220755_220755"
"28786"	"Contig21709"	"32464"	"32464"	"Contig21709_32464_32464"
"28855"	"Contig21752"	"32884"	"32884"	"Contig21752_32884_32884"
"29048"	"Contig2191"	"362578"	"362578"	"Contig2191_362578_362578"
"29318"	"Contig22079"	"46816"	"46816"	"Contig22079_46816_46816"
"29685"	"Contig2216"	"1085602"	"1085602"	"Contig2216_1085602_1085602"
"29704"	"Contig2216"	"1111438"	"1111438"	"Contig2216_1111438_1111438"
"29706"	"Contig2216"	"1111464"	"1111464"	"Contig2216_1111464_1111464"
"29707"	"Contig2216"	"1111473"	"1111473"	"Contig2216_1111473_1111473"
"29839"	"Contig222"	"65833"	"65833"	"Contig222_65833_65833"
"30052"	"Contig22214"	"32026"	"32026"	"Contig22214_32026_32026"
"30263"	"Contig22276"	"506997"	"506997"	"Contig22276_506997_506997"
"30526"	"Contig22349"	"13743"	"13743"	"Contig22349_13743_13743"
"30630"	"Contig22396"	"6528"	"6528"	"Contig22396_6528_6528"
"30873"	"Contig2253"	"177629"	"177629"	"Contig2253_177629_177629"
"30898"	"Contig2253"	"195651"	"195651"	"Contig2253_195651_195651"
"30903"	"Contig2253"	"198630"	"198630"	"Contig2253_198630_198630"
"31035"	"Contig2253"	"454679"	"454679"	"Contig2253_454679_454679"
"31372"	"Contig2260"	"780193"	"780193"	"Contig2260_780193_780193"
"31405"	"Contig2260"	"823774"	"823774"	"Contig2260_823774_823774"
"31457"	"Contig2260"	"908161"	"908161"	"Contig2260_908161_908161"
"31518"	"Contig2260"	"999496"	"999496"	"Contig2260_999496_999496"
"31585"	"Contig2260"	"1084424"	"1084424"	"Contig2260_1084424_1084424"
"31731"	"Contig2260"	"1281917"	"1281917"	"Contig2260_1281917_1281917"
"32058"	"Contig2260"	"1536366"	"1536366"	"Contig2260_1536366_1536366"
"32061"	"Contig2260"	"1547061"	"1547061"	"Contig2260_1547061_1547061"
"32533"	"Contig22826"	"60604"	"60604"	"Contig22826_60604_60604"
"32668"	"Contig2299"	"656595"	"656595"	"Contig2299_656595_656595"
"32677"	"Contig2299"	"660699"	"660699"	"Contig2299_660699_660699"
"32993"	"Contig23181"	"95674"	"95674"	"Contig23181_95674_95674"
"33127"	"Contig2336"	"4056"	"4056"	"Contig2336_4056_4056"
"33165"	"Contig23361"	"212716"	"212716"	"Contig23361_212716_212716"
"33247"	"Contig23416"	"357457"	"357457"	"Contig23416_357457_357457"
"33289"	"Contig23699"	"19451"	"19451"	"Contig23699_19451_19451"
"33335"	"Contig23711"	"1341"	"1341"	"Contig23711_1341_1341"
"33592"	"Contig23843"	"13121"	"13121"	"Contig23843_13121_13121"
"33613"	"Contig23843"	"93364"	"93364"	"Contig23843_93364_93364"
"34023"	"Contig2441"	"79159"	"79159"	"Contig2441_79159_79159"
"34494"	"Contig2441"	"960886"	"960886"	"Contig2441_960886_960886"
"34585"	"Contig2441"	"1156838"	"1156838"	"Contig2441_1156838_1156838"
"34790"	"Contig2444"	"92427"	"92427"	"Contig2444_92427_92427"
"34969"	"Contig24489"	"102974"	"102974"	"Contig24489_102974_102974"
"35007"	"Contig245"	"2480"	"2480"	"Contig245_2480_2480"
"35359"	"Contig2490"	"448718"	"448718"	"Contig2490_448718_448718"
"35547"	"Contig24910"	"8485"	"8485"	"Contig24910_8485_8485"
"36205"	"Contig25381"	"334"	"334"	"Contig25381_334_334"
"36411"	"Contig25614"	"5631"	"5631"	"Contig25614_5631_5631"
"36584"	"Contig257"	"195895"	"195895"	"Contig257_195895_195895"
"36716"	"Contig258"	"20622"	"20622"	"Contig258_20622_20622"
"36907"	"Contig25959"	"24608"	"24608"	"Contig25959_24608_24608"
"37284"	"Contig26113"	"92158"	"92158"	"Contig26113_92158_92158"
"37385"	"Contig2621"	"178746"	"178746"	"Contig2621_178746_178746"
"37607"	"Contig26643"	"305765"	"305765"	"Contig26643_305765_305765"
"37687"	"Contig26687"	"14034"	"14034"	"Contig26687_14034_14034"
"38091"	"Contig26910"	"86106"	"86106"	"Contig26910_86106_86106"
"38340"	"Contig2709"	"224650"	"224650"	"Contig2709_224650_224650"
"38626"	"Contig273"	"181155"	"181155"	"Contig273_181155_181155"
"38769"	"Contig27427"	"332966"	"332966"	"Contig27427_332966_332966"
"39037"	"Contig276"	"91348"	"91348"	"Contig276_91348_91348"
"39320"	"Contig2774"	"785351"	"785351"	"Contig2774_785351_785351"
"39422"	"Contig2774"	"1042753"	"1042753"	"Contig2774_1042753_1042753"
"39450"	"Contig2774"	"1216735"	"1216735"	"Contig2774_1216735_1216735"
"39937"	"Contig2782"	"1519546"	"1519546"	"Contig2782_1519546_1519546"
"40362"	"Contig28163"	"20242"	"20242"	"Contig28163_20242_20242"
"40420"	"Contig28198"	"148549"	"148549"	"Contig28198_148549_148549"
"40592"	"Contig2824"	"68591"	"68591"	"Contig2824_68591_68591"
"41357"	"Contig28358"	"103599"	"103599"	"Contig28358_103599_103599"
"41564"	"Contig285"	"49637"	"49637"	"Contig285_49637_49637"
"41577"	"Contig285"	"49718"	"49718"	"Contig285_49718_49718"
"41871"	"Contig287"	"24161"	"24161"	"Contig287_24161_24161"
"42363"	"Contig28919"	"299064"	"299064"	"Contig28919_299064_299064"
"42515"	"Contig29398"	"22147"	"22147"	"Contig29398_22147_22147"
"42640"	"Contig29564"	"56505"	"56505"	"Contig29564_56505_56505"
"43055"	"Contig2997"	"88310"	"88310"	"Contig2997_88310_88310"
"43187"	"Contig29987"	"2886"	"2886"	"Contig29987_2886_2886"
"43223"	"Contig30021"	"158882"	"158882"	"Contig30021_158882_158882"
"43247"	"Contig30021"	"257117"	"257117"	"Contig30021_257117_257117"
"43731"	"Contig3009"	"415811"	"415811"	"Contig3009_415811_415811"
"43733"	"Contig3009"	"415814"	"415814"	"Contig3009_415814_415814"
"43754"	"Contig3009"	"509671"	"509671"	"Contig3009_509671_509671"
"43801"	"Contig30122"	"467431"	"467431"	"Contig30122_467431_467431"
"43880"	"Contig30148"	"19074"	"19074"	"Contig30148_19074_19074"
"43950"	"Contig30179"	"178130"	"178130"	"Contig30179_178130_178130"
"43988"	"Contig302"	"275291"	"275291"	"Contig302_275291_275291"
"44305"	"Contig30840"	"18755"	"18755"	"Contig30840_18755_18755"
"44515"	"Contig311"	"179198"	"179198"	"Contig311_179198_179198"
"44537"	"Contig311"	"229772"	"229772"	"Contig311_229772_229772"
"44547"	"Contig311"	"236481"	"236481"	"Contig311_236481_236481"
"44631"	"Contig3126"	"35366"	"35366"	"Contig3126_35366_35366"
"44744"	"Contig3126"	"469743"	"469743"	"Contig3126_469743_469743"
"44752"	"Contig3126"	"485977"	"485977"	"Contig3126_485977_485977"
"44764"	"Contig3126"	"724413"	"724413"	"Contig3126_724413_724413"
"44831"	"Contig31391"	"13554"	"13554"	"Contig31391_13554_13554"
"45043"	"Contig3155"	"26178"	"26178"	"Contig3155_26178_26178"
"45248"	"Contig31792"	"5763"	"5763"	"Contig31792_5763_5763"
"45270"	"Contig31792"	"11022"	"11022"	"Contig31792_11022_11022"
"45899"	"Contig3222"	"72696"	"72696"	"Contig3222_72696_72696"
"46059"	"Contig3222"	"279614"	"279614"	"Contig3222_279614_279614"
"46570"	"Contig3246"	"287260"	"287260"	"Contig3246_287260_287260"
"46752"	"Contig326"	"201031"	"201031"	"Contig326_201031_201031"
"47034"	"Contig3300"	"192269"	"192269"	"Contig3300_192269_192269"
"47318"	"Contig3328"	"91288"	"91288"	"Contig3328_91288_91288"
"47375"	"Contig33381"	"351"	"351"	"Contig33381_351_351"
"47907"	"Contig3393"	"239673"	"239673"	"Contig3393_239673_239673"
"47959"	"Contig3393"	"346877"	"346877"	"Contig3393_346877_346877"
"48070"	"Contig3394"	"186588"	"186588"	"Contig3394_186588_186588"
"48587"	"Contig3421"	"128890"	"128890"	"Contig3421_128890_128890"
"49424"	"Contig3461"	"501728"	"501728"	"Contig3461_501728_501728"
"49833"	"Contig3462"	"154494"	"154494"	"Contig3462_154494_154494"
"50208"	"Contig347"	"7298"	"7298"	"Contig347_7298_7298"
"50288"	"Contig3483"	"16873"	"16873"	"Contig3483_16873_16873"
"50602"	"Contig351"	"4344"	"4344"	"Contig351_4344_4344"
"50792"	"Contig3566"	"49326"	"49326"	"Contig3566_49326_49326"
"50959"	"Contig3566"	"163139"	"163139"	"Contig3566_163139_163139"
"51245"	"Contig3568"	"313795"	"313795"	"Contig3568_313795_313795"
"51643"	"Contig359"	"50019"	"50019"	"Contig359_50019_50019"
"51688"	"Contig35923"	"280685"	"280685"	"Contig35923_280685_280685"
"51974"	"Contig3599"	"858948"	"858948"	"Contig3599_858948_858948"
"52121"	"Contig3619"	"352921"	"352921"	"Contig3619_352921_352921"
"52248"	"Contig3620"	"255635"	"255635"	"Contig3620_255635_255635"
"52445"	"Contig36546"	"25902"	"25902"	"Contig36546_25902_25902"
"52457"	"Contig36546"	"34192"	"34192"	"Contig36546_34192_34192"
"52719"	"Contig36935"	"5002"	"5002"	"Contig36935_5002_5002"
"53066"	"Contig37181"	"656"	"656"	"Contig37181_656_656"
"54269"	"Contig3872"	"963711"	"963711"	"Contig3872_963711_963711"
"54379"	"Contig3872"	"1367688"	"1367688"	"Contig3872_1367688_1367688"
"54434"	"Contig3875"	"407392"	"407392"	"Contig3875_407392_407392"
"54675"	"Contig3897"	"582354"	"582354"	"Contig3897_582354_582354"
"54676"	"Contig3897"	"582357"	"582357"	"Contig3897_582357_582357"
"54930"	"Contig390"	"1040"	"1040"	"Contig390_1040_1040"
"55304"	"Contig40417"	"1028"	"1028"	"Contig40417_1028_1028"
"55547"	"Contig41"	"14502"	"14502"	"Contig41_14502_14502"
"55606"	"Contig41"	"65169"	"65169"	"Contig41_65169_65169"
"55827"	"Contig41003"	"4948"	"4948"	"Contig41003_4948_4948"
"56284"	"Contig42291"	"1951"	"1951"	"Contig42291_1951_1951"
"56636"	"Contig433"	"17900"	"17900"	"Contig433_17900_17900"
"56727"	"Contig433"	"18520"	"18520"	"Contig433_18520_18520"
"56894"	"Contig4402"	"136543"	"136543"	"Contig4402_136543_136543"
"57129"	"Contig4402"	"619972"	"619972"	"Contig4402_619972_619972"
"57133"	"Contig44337"	"563"	"563"	"Contig44337_563_563"
"57144"	"Contig4458"	"41374"	"41374"	"Contig4458_41374_41374"
"57478"	"Contig4458"	"1035720"	"1035720"	"Contig4458_1035720_1035720"
"57601"	"Contig44651"	"491"	"491"	"Contig44651_491_491"
"58134"	"Contig4584"	"854732"	"854732"	"Contig4584_854732_854732"
"58174"	"Contig4584"	"1073711"	"1073711"	"Contig4584_1073711_1073711"
"58277"	"Contig4584"	"1569389"	"1569389"	"Contig4584_1569389_1569389"
"58312"	"Contig4616"	"186903"	"186903"	"Contig4616_186903_186903"
"58345"	"Contig4616"	"246893"	"246893"	"Contig4616_246893_246893"
"58374"	"Contig4630"	"350648"	"350648"	"Contig4630_350648_350648"
"58407"	"Contig46391"	"281"	"281"	"Contig46391_281_281"
"58500"	"Contig4673"	"52640"	"52640"	"Contig4673_52640_52640"
"58521"	"Contig4673"	"214348"	"214348"	"Contig4673_214348_214348"
"58546"	"Contig4673"	"322129"	"322129"	"Contig4673_322129_322129"
"58944"	"Contig48104"	"31"	"31"	"Contig48104_31_31"
"59335"	"Contig4814"	"7119"	"7119"	"Contig4814_7119_7119"
"59850"	"Contig4848"	"21226"	"21226"	"Contig4848_21226_21226"
"60720"	"Contig5117"	"143106"	"143106"	"Contig5117_143106_143106"
"61022"	"Contig5301"	"20099"	"20099"	"Contig5301_20099_20099"
"61210"	"Contig5415"	"33298"	"33298"	"Contig5415_33298_33298"
"61296"	"Contig5472"	"78085"	"78085"	"Contig5472_78085_78085"
"61643"	"Contig5494"	"386664"	"386664"	"Contig5494_386664_386664"
"61761"	"Contig5494"	"626728"	"626728"	"Contig5494_626728_626728"
"61824"	"Contig5494"	"865561"	"865561"	"Contig5494_865561_865561"
"62027"	"Contig5541"	"182491"	"182491"	"Contig5541_182491_182491"
"62123"	"Contig5542"	"66898"	"66898"	"Contig5542_66898_66898"
"62170"	"Contig5578"	"12349"	"12349"	"Contig5578_12349_12349"
"62185"	"Contig5583"	"21961"	"21961"	"Contig5583_21961_21961"
"62186"	"Contig5583"	"21966"	"21966"	"Contig5583_21966_21966"
"62334"	"Contig5596"	"7502"	"7502"	"Contig5596_7502_7502"
"62481"	"Contig566"	"380149"	"380149"	"Contig566_380149_380149"
"62882"	"Contig578"	"501175"	"501175"	"Contig578_501175_501175"
"62969"	"Contig578"	"610597"	"610597"	"Contig578_610597_610597"
"62984"	"Contig578"	"612360"	"612360"	"Contig578_612360_612360"
"63405"	"Contig578"	"862423"	"862423"	"Contig578_862423_862423"
"63431"	"Contig578"	"885055"	"885055"	"Contig578_885055_885055"
"63817"	"Contig6005"	"2530"	"2530"	"Contig6005_2530_2530"
"63861"	"Contig6005"	"2663"	"2663"	"Contig6005_2663_2663"
"63874"	"Contig6005"	"2702"	"2702"	"Contig6005_2702_2702"
"63877"	"Contig6005"	"2708"	"2708"	"Contig6005_2708_2708"
"64150"	"Contig6006"	"628336"	"628336"	"Contig6006_628336_628336"
"64414"	"Contig602"	"516004"	"516004"	"Contig602_516004_516004"
"64437"	"Contig602"	"581166"	"581166"	"Contig602_581166_581166"
"64803"	"Contig602"	"1496534"	"1496534"	"Contig602_1496534_1496534"
"64913"	"Contig602"	"1788318"	"1788318"	"Contig602_1788318_1788318"
"65103"	"Contig610"	"338138"	"338138"	"Contig610_338138_338138"
"65320"	"Contig611"	"63873"	"63873"	"Contig611_63873_63873"
"65325"	"Contig611"	"68241"	"68241"	"Contig611_68241_68241"
"65898"	"Contig6229"	"27774"	"27774"	"Contig6229_27774_27774"
"65924"	"Contig6229"	"154331"	"154331"	"Contig6229_154331_154331"
"66006"	"Contig6231"	"129610"	"129610"	"Contig6231_129610_129610"
"66142"	"Contig6289"	"67991"	"67991"	"Contig6289_67991_67991"
"66567"	"Contig6806"	"292953"	"292953"	"Contig6806_292953_292953"
"66602"	"Contig6806"	"310483"	"310483"	"Contig6806_310483_310483"
"66714"	"Contig69"	"63324"	"63324"	"Contig69_63324_63324"
"66982"	"Contig69"	"687733"	"687733"	"Contig69_687733_687733"
"67223"	"Contig69"	"1063982"	"1063982"	"Contig69_1063982_1063982"
"67231"	"Contig69"	"1069539"	"1069539"	"Contig69_1069539_1069539"
"67865"	"Contig7051"	"69963"	"69963"	"Contig7051_69963_69963"
"69048"	"Contig7328"	"87150"	"87150"	"Contig7328_87150_87150"
"69162"	"Contig742"	"72884"	"72884"	"Contig742_72884_72884"
"69401"	"Contig7484"	"210167"	"210167"	"Contig7484_210167_210167"
"69658"	"Contig7484"	"717778"	"717778"	"Contig7484_717778_717778"
"69819"	"Contig7484"	"834842"	"834842"	"Contig7484_834842_834842"
"69881"	"Contig7493"	"286978"	"286978"	"Contig7493_286978_286978"
"70422"	"Contig7624"	"498100"	"498100"	"Contig7624_498100_498100"
"70463"	"Contig7624"	"601036"	"601036"	"Contig7624_601036_601036"
"70620"	"Contig764"	"17357"	"17357"	"Contig764_17357_17357"
"71008"	"Contig7770"	"324902"	"324902"	"Contig7770_324902_324902"
"71150"	"Contig7858"	"39792"	"39792"	"Contig7858_39792_39792"
"71363"	"Contig7926"	"404422"	"404422"	"Contig7926_404422_404422"
"71467"	"Contig7926"	"824629"	"824629"	"Contig7926_824629_824629"
"71727"	"Contig7939"	"211188"	"211188"	"Contig7939_211188_211188"
"71834"	"Contig7968"	"70218"	"70218"	"Contig7968_70218_70218"
"71880"	"Contig799"	"28517"	"28517"	"Contig799_28517_28517"
"72530"	"Contig800"	"1288775"	"1288775"	"Contig800_1288775_1288775"
"72663"	"Contig800"	"1645544"	"1645544"	"Contig800_1645544_1645544"
"72863"	"Contig8014"	"56263"	"56263"	"Contig8014_56263_56263"
"72923"	"Contig8039"	"348180"	"348180"	"Contig8039_348180_348180"
"73269"	"Contig806"	"1250369"	"1250369"	"Contig806_1250369_1250369"
"73510"	"Contig806"	"2132060"	"2132060"	"Contig806_2132060_2132060"
"73619"	"Contig806"	"2346454"	"2346454"	"Contig806_2346454_2346454"
"73620"	"Contig806"	"2346457"	"2346457"	"Contig806_2346457_2346457"
"73939"	"Contig808"	"1837752"	"1837752"	"Contig808_1837752_1837752"
"74044"	"Contig808"	"2778544"	"2778544"	"Contig808_2778544_2778544"
"74178"	"Contig8194"	"16000"	"16000"	"Contig8194_16000_16000"
"74406"	"Contig8344"	"82569"	"82569"	"Contig8344_82569_82569"
"74512"	"Contig8425"	"925"	"925"	"Contig8425_925_925"
"74690"	"Contig8434"	"461117"	"461117"	"Contig8434_461117_461117"
"74769"	"Contig8442"	"98648"	"98648"	"Contig8442_98648_98648"
"75860"	"Contig869"	"343922"	"343922"	"Contig869_343922_343922"
"76018"	"Contig869"	"943748"	"943748"	"Contig869_943748_943748"
"76371"	"Contig8716"	"367259"	"367259"	"Contig8716_367259_367259"
"76822"	"Contig8805"	"220571"	"220571"	"Contig8805_220571_220571"
"76824"	"Contig8805"	"226803"	"226803"	"Contig8805_226803_226803"
"78098"	"Contig899"	"60986"	"60986"	"Contig899_60986_60986"
"78331"	"Contig9096"	"519553"	"519553"	"Contig9096_519553_519553"
"78507"	"Contig9273"	"42264"	"42264"	"Contig9273_42264_42264"
"78786"	"Contig9273"	"1219183"	"1219183"	"Contig9273_1219183_1219183"
"79448"	"Contig937"	"815195"	"815195"	"Contig937_815195_815195"
"79986"	"Contig9425"	"229523"	"229523"	"Contig9425_229523_229523"
"80087"	"Contig9431"	"165206"	"165206"	"Contig9431_165206_165206"
"80171"	"Contig9431"	"246538"	"246538"	"Contig9431_246538_246538"
"80305"	"Contig9431"	"458154"	"458154"	"Contig9431_458154_458154"
"80583"	"Contig9600"	"85498"	"85498"	"Contig9600_85498_85498"
"80734"	"Contig9642"	"95219"	"95219"	"Contig9642_95219_95219"
"80967"	"Contig9701"	"73450"	"73450"	"Contig9701_73450_73450"
"81120"	"Contig9836"	"99417"	"99417"	"Contig9836_99417_99417"
"81340"	"Contig9985"	"890"	"890"	"Contig9985_890_890"
