"contig"	"start"	"end"	"location"
"59801"	"Contig4844"	"1419293"	"1419293"	"Contig4844_1419293_1419293"
"60218"	"Contig4888"	"5033"	"5033"	"Contig4888_5033_5033"
"60374"	"Contig5003"	"52769"	"52769"	"Contig5003_52769_52769"
"60937"	"Contig5175"	"159269"	"159269"	"Contig5175_159269_159269"
"61948"	"Contig5541"	"103777"	"103777"	"Contig5541_103777_103777"
"62098"	"Contig5542"	"48695"	"48695"	"Contig5542_48695_48695"
"63145"	"Contig578"	"737802"	"737802"	"Contig578_737802_737802"
"66826"	"Contig69"	"435023"	"435023"	"Contig69_435023_435023"
"66905"	"Contig69"	"574638"	"574638"	"Contig69_574638_574638"
"67506"	"Contig7005"	"30485"	"30485"	"Contig7005_30485_30485"
"67850"	"Contig7051"	"66432"	"66432"	"Contig7051_66432_66432"
"68388"	"Contig7193"	"392129"	"392129"	"Contig7193_392129_392129"
"68416"	"Contig72"	"53228"	"53228"	"Contig72_53228_53228"
"68639"	"Contig7327"	"312"	"312"	"Contig7327_312_312"
"69324"	"Contig7484"	"130005"	"130005"	"Contig7484_130005_130005"
"70061"	"Contig761"	"165751"	"165751"	"Contig761_165751_165751"
"70483"	"Contig7624"	"627310"	"627310"	"Contig7624_627310_627310"
"71832"	"Contig7968"	"67987"	"67987"	"Contig7968_67987_67987"
"74082"	"Contig808"	"3146712"	"3146712"	"Contig808_3146712_3146712"
"75036"	"Contig8602"	"7451"	"7451"	"Contig8602_7451_7451"
"75252"	"Contig8616"	"78600"	"78600"	"Contig8616_78600_78600"
"75420"	"Contig8629"	"29188"	"29188"	"Contig8629_29188_29188"
"77539"	"Contig8858"	"151300"	"151300"	"Contig8858_151300_151300"
"78293"	"Contig9096"	"126211"	"126211"	"Contig9096_126211_126211"
"78820"	"Contig9273"	"1258620"	"1258620"	"Contig9273_1258620_1258620"
"79441"	"Contig937"	"815101"	"815101"	"Contig937_815101_815101"
"79515"	"Contig937"	"1365300"	"1365300"	"Contig937_1365300_1365300"
"79800"	"Contig941"	"369204"	"369204"	"Contig941_369204_369204"
"80535"	"Contig9562"	"462781"	"462781"	"Contig9562_462781_462781"
"80746"	"Contig9642"	"236292"	"236292"	"Contig9642_236292_236292"
"80779"	"Contig9642"	"440953"	"440953"	"Contig9642_440953_440953"
"81188"	"Contig9836"	"488450"	"488450"	"Contig9836_488450_488450"
